word,entropy_bits,expected_remaining,worst_case_remaining,is_possible_answer,frequency_score
soare,5.885960,62.3011,183,0,2.098056
roate,5.882779,60.4246,195,0,2.060043
raise,5.877910,61.0009,168,1,2.031102
raile,5.865710,61.3309,173,0,2.042117
reast,5.865457,71.7654,227,0,1.998272
slate,5.855775,71.5728,221,1,1.994168
crate,5.834874,72.8998,246,1,1.980346
salet,5.834582,71.2721,221,0,1.976026
irate,5.831397,63.7793,194,1,2.030886
trace,5.830549,74.0203,246,1,1.972570
arise,5.820940,63.7257,168,1,2.030886
orate,5.817161,63.8907,195,0,2.043629
stare,5.807280,71.2946,227,1,2.051836
carte,5.794557,73.5158,246,0,1.957235
raine,5.786710,67.0562,195,0,2.004104
caret,5.776713,75.5996,246,0,1.958963
ariel,5.775167,65.2877,173,0,2.017711
taler,5.770612,67.7369,196,0,2.014903
carle,5.770479,74.6803,249,0,1.953996
slane,5.770181,73.9857,225,0,1.952916
snare,5.770089,71.0976,219,1,2.003456
artel,5.768295,67.4959,196,0,1.992873
arose,5.767797,66.0212,183,1,2.037365
strae,5.767281,71.8458,227,0,2.023110
carse,5.765364,74.8324,237,0,1.942981
saine,5.764078,72.5922,207,0,1.965875
earst,5.757081,76.8117,227,0,1.973434
taser,5.752976,71.2765,227,0,1.995032
least,5.751646,78.1896,221,1,1.912959
alert,5.745837,71.5987,196,1,1.977970
crane,5.742782,78.7417,263,1,1.939093
tares,5.742548,71.5434,227,0,1.974946
seral,5.739455,73.0786,205,0,1.992657
stale,5.738573,75.6039,221,1,1.972354
saner,5.733713,70.1257,219,1,2.004104
ratel,5.730870,69.8432,196,0,1.993089
torse,5.723380,77.9555,246,0,1.919654
tears,5.718023,75.4475,227,0,1.956803
resat,5.716071,76.0315,227,0,1.947516
alter,5.713171,69.9918,196,1,1.990713
later,5.706089,70.2233,196,1,2.001512
prate,5.700636,81.5002,268,0,1.924190
trine,5.697082,81.8890,270,0,1.901080
react,5.696354,79.8302,246,1,1.920734
saice,5.691244,76.5179,211,0,1.915335
toile,5.691014,73.0415,204,0,1.870842
earnt,5.690444,76.7650,226,0,1.946436
trone,5.684949,78.8212,261,0,1.907559
leant,5.684574,77.2600,208,1,1.885961
liane,5.684230,75.2739,220,0,1.905616
trade,5.681561,80.9317,269,1,1.920950
antre,5.680472,73.9434,226,0,1.933693
reist,5.674715,82.9991,247,0,1.876242
coate,5.674410,74.5067,192,0,1.912095
sorel,5.671332,76.0842,215,0,1.932181
urate,5.667025,72.8298,202,0,1.948596
slier,5.666105,75.9495,206,0,1.938445
teras,5.663863,77.2082,227,0,1.928078
stane,5.658277,79.7568,239,0,1.934341
learn,5.656074,76.6406,212,1,1.926350
trape,5.655458,82.6700,268,0,1.906479
peart,5.653166,86.6829,268,0,1.884665
rates,5.652967,73.3274,227,0,1.954212
paire,5.652893,76.8704,215,0,1.917495
cater,5.646715,80.8203,246,1,1.938877
stear,5.645639,78.9499,227,0,1.980346
roast,5.645193,83.3559,266,1,1.840821
setal,5.644483,82.3780,221,0,1.907991
stire,5.641458,81.3300,247,0,1.929806
teals,5.639375,79.9711,221,0,1.877322
aline,5.637222,80.6164,220,0,1.907991
aisle,5.636828,76.1888,196,1,1.893089
trice,5.634237,86.0505,277,1,1.850540
reals,5.633214,74.9395,205,0,1.941253
arles,5.633089,69.8907,205,0,1.946004
toise,5.632637,80.0721,216,0,1.859827
scare,5.630489,80.6803,237,1,1.949244
parse,5.629691,87.0130,270,1,1.886825
lares,5.628996,71.7447,205,0,1.953564
oater,5.628423,71.2454,195,0,2.002160
realo,5.628200,69.9477,176,0,1.969762
slart,5.627586,85.9952,244,0,1.865443
laser,5.627303,72.1222,205,0,1.973650
arets,5.626704,78.1603,227,0,1.929590
roset,5.623226,82.4324,246,0,1.887041
aesir,5.621975,69.8829,168,0,1.936717
saute,5.620201,84.3374,223,1,1.903240
tries,5.618388,81.5538,247,0,1.876026
parle,5.618318,82.5689,265,0,1.897840
rance,5.618076,82.2657,263,0,1.884233
litre,5.616374,76.3227,209,0,1.876242
tales,5.615516,76.1611,221,0,1.882289
heart,5.614519,89.1425,261,1,1.883153
alone,5.614036,77.1633,182,1,1.914471
prase,5.613585,88.8868,270,0,1.909935
store,5.610466,81.2194,246,1,1.936285
alien,5.609534,83.5970,220,1,1.873866
share,5.608309,85.4717,238,1,1.941901
ronte,5.605927,81.6644,261,0,1.868683
rales,5.604545,72.8022,205,0,1.946220
grate,5.604083,84.5810,276,1,1.898488
tared,5.603815,85.0570,269,0,1.885529
lears,5.602979,76.8289,205,0,1.935421
stoae,5.601326,74.8963,177,0,1.969762
soler,5.600130,78.2553,215,0,1.933261
anile,5.600095,82.2017,220,0,1.879050
alure,5.594358,75.6773,197,0,1.921598
terai,5.593728,75.1425,194,0,1.935205
sared,5.592133,81.4086,257,0,1.911231
laten,5.591816,78.5784,205,0,1.859827
urase,5.591295,77.2307,202,0,1.934341
trail,5.591218,79.4475,219,1,1.825702
serai,5.590319,72.9214,168,0,1.960907
siler,5.588392,78.6683,206,0,1.905400
scrae,5.587857,80.9749,237,0,1.920518
liart,5.586291,81.2523,219,0,1.818143
reais,5.585897,71.6108,168,0,1.939957
siren,5.583403,84.2976,244,1,1.856371
tiler,5.581962,80.3114,209,0,1.879698
thrae,5.581125,87.0596,261,0,1.887473
snore,5.578530,82.6026,237,1,1.887905
reans,5.576260,78.2924,219,0,1.903240
ariot,5.572828,85.6860,234,0,1.841253
derat,5.572268,89.3680,269,0,1.859611
taels,5.572223,84.7857,238,0,1.862635
caste,5.570507,85.4078,248,1,1.844708
crise,5.568267,86.0531,256,0,1.844060
anise,5.565907,82.9119,207,0,1.868035
toner,5.565298,87.7819,261,0,1.871058
scale,5.565173,87.4285,255,1,1.869762
anole,5.565099,78.6812,182,0,1.885529
leats,5.561156,82.6164,221,0,1.859179
tores,5.560406,84.9093,246,0,1.867603
salue,5.559737,84.3408,218,0,1.871274
cares,5.559540,81.8035,237,0,1.890929
maire,5.558678,79.9754,218,0,1.889201
targe,5.557643,86.7650,276,0,1.869114
atone,5.557518,78.9594,191,1,1.895896
caner,5.557335,87.1201,263,0,1.894384
laers,5.556381,78.8765,205,0,1.920734
thale,5.555346,87.9987,245,0,1.836717
renal,5.555059,81.1581,212,1,1.901728
dealt,5.554763,91.3378,257,1,1.808855
tires,5.553927,84.3857,247,0,1.839741
sarge,5.553053,85.5158,262,0,1.894816
stile,5.551916,89.3171,270,0,1.850324
corse,5.551894,88.9844,255,0,1.835637
marse,5.551711,88.1948,270,0,1.858531
relit,5.551682,82.5775,209,0,1.853132
spare,5.551208,91.5425,270,1,1.909719
train,5.550773,88.7693,264,1,1.777754
plate,5.549879,89.2911,255,1,1.828294
tolar,5.549589,83.2756,224,0,1.810583
clear,5.548955,88.2786,249,1,1.889201
lacet,5.548399,83.7214,233,0,1.830454
rinse,5.547753,85.0112,244,1,1.826566
serac,5.546871,84.5793,237,0,1.879266
riant,5.544778,88.9222,264,0,1.785961
sitar,5.544535,85.7819,262,0,1.816415
porae,5.540822,85.2713,224,0,1.903456
oriel,5.540227,76.7685,186,0,1.894168
teary,5.538002,83.7654,198,1,1.940821
retia,5.537227,78.5482,194,0,1.924838
shale,5.536668,90.9568,241,1,1.862419
solar,5.536233,82.8333,232,1,1.836285
trial,5.536154,82.9421,219,1,1.817927
slade,5.535440,89.6963,272,0,1.850756
orant,5.533516,85.8441,256,0,1.797408
glare,5.533163,88.5490,270,1,1.878834
nares,5.531246,76.1663,219,0,1.900216
armet,5.530363,90.1663,275,0,1.851836
resit,5.530039,87.0078,247,0,1.833261
pearl,5.529943,91.1080,265,1,1.855508
aeros,5.528939,75.2022,183,0,1.922246
marle,5.527581,86.4324,270,0,1.869546
aster,5.527285,78.0851,227,0,1.937797
aloes,5.525798,77.3559,174,0,1.889417
dater,5.523483,88.2078,269,0,1.886393
nacre,5.521918,84.2276,263,0,1.851620
earls,5.521403,78.9283,205,0,1.916415
lance,5.521382,90.9006,273,1,1.798920
rated,5.520832,88.6639,269,0,1.864795
stole,5.519420,84.5317,224,1,1.856803
rathe,5.518553,84.7823,261,0,1.872138
paise,5.518517,90.3296,235,0,1.826998
neral,5.516983,80.5931,212,0,1.892225
deair,5.516908,85.3387,221,0,1.872138
serin,5.516780,86.1153,244,0,1.830454
canoe,5.516656,86.8324,216,1,1.829158
sonar,5.516330,87.8631,260,1,1.799784
nitre,5.515877,86.8229,270,0,1.822894
crine,5.515456,95.9235,292,0,1.817063
liter,5.515198,83.4873,209,0,1.866307
pater,5.515101,89.7292,268,0,1.882721
loast,5.514858,90.7089,286,0,1.755508
stair,5.514467,87.2445,262,1,1.830670
slice,5.514092,96.1283,292,1,1.780346
