threshold,mean,solved,failure_rate_pct,hard_mode_violation_pct,forced_pct,wins_forced,wins_model,control_mean,model_gain
0,5.6951,109,55.69,29.35,0.0,0,109,6.9932,1.2981
2,4.1707,228,7.32,16.07,13.0,131,97,5.9566,1.7859
5,3.8618,240,2.44,12.08,11.86,112,128,5.561,1.6992
10,3.7764,243,1.22,10.15,11.99,111,132,5.355,1.5786
20,3.7642,242,1.63,9.11,11.39,105,137,5.1762,1.412
50,3.7886,239,2.85,6.81,10.81,100,139,5.0027,1.2141
100,3.8171,239,2.85,4.51,10.52,98,141,4.8889,1.0718
250,3.8943,239,2.85,2.42,9.88,94,145,4.7222,0.8279
1000,3.9472,241,2.03,0.0,10.04,97,144,4.5203,0.5731
1000000000,3.9472,241,2.03,0.0,10.04,97,144,4.5203,0.5731
